0.9301	0.66691	0.48291
0.099458	0.92685	0.88385
0.12227	0.30598	0.082661
0.56215	0.088982	0.91117
0.5367	0.1472	0.74168
0.72345	0.23309	0.15957
0.70672	0.576	0.91091
0.90287	0.51336	0.10722
0.56257	0.88817	0.097942
0.11781	0.33155	0.86841
0.51546	0.12732	0.53124
0.075868	0.91415	0.10379
0.9036	0.11391	0.51785
0.45663	0.33735	0.64099
0.87741	0.68693	0.71551
0.66651	0.93399	0.33258
0.1057	0.34017	0.48123
0.91513	0.76579	0.10285
0.29995	0.45471	0.47541
0.14255	0.72759	0.11544
0.11447	0.59818	0.29279
0.082859	0.10769	0.15474
0.23614	0.23459	0.27517
0.61508	0.46874	0.29383
0.74694	0.8249	0.50595
0.088486	0.83662	0.29956
0.3429	0.69204	0.69725
0.56552	0.30899	0.066705
0.70726	0.22916	0.91719
0.86646	0.47225	0.74187
0.33912	0.42471	0.30278
0.27087	0.89747	0.34699
0.50517	0.5496	0.090471
0.21973	0.29931	0.65953
0.09144	0.54925	0.079989
0.32785	0.90909	0.10534
0.59217	0.55706	0.71471
0.11366	0.13588	0.93411
0.52152	0.34426	0.46088
0.31762	0.091984	0.6432
0.91146	0.35518	0.91039
0.72547	0.83891	0.74887
0.88024	0.13669	0.33065
0.32908	0.49411	0.91157
0.31506	0.089393	0.86541
0.10923	0.89863	0.50183
0.89339	0.87323	0.90181
0.32231	0.88126	0.8925
0.35251	0.26694	0.84863
0.70485	0.076989	0.66414
0.66419	0.71228	0.2818
0.29026	0.4774	0.70935
0.81918	0.92436	0.13673
0.16281	0.72863	0.90037
0.5831	0.077616	0.11978
0.91181	0.40388	0.54843
0.62705	0.91178	0.91992
0.92182	0.9077	0.62393
0.30077	0.078923	0.10348
0.10199	0.13366	0.76259
0.48119	0.87114	0.75398
0.92083	0.59658	0.91486
0.097634	0.64166	0.49845
0.72839	0.55865	0.51922
0.48315	0.68267	0.89369
0.60176	0.90863	0.62642
0.70148	0.32045	0.70984
0.54198	0.29717	0.25077
0.88487	0.63387	0.31326
0.88028	0.094873	0.88619
0.72137	0.4614	0.11258
0.37803	0.25264	0.10633
0.35522	0.72598	0.15503
0.11774	0.64	0.6943
0.46516	0.87798	0.32828
0.92135	0.29112	0.1081
0.28106	0.47914	0.10824
0.089724	0.3827	0.29104
0.12244	0.099082	0.39724
0.6512	0.095252	0.37379
0.51702	0.56651	0.51191
0.85889	0.39823	0.33332
0.080137	0.13298	0.58814
0.90489	0.88516	0.36309
0.10378	0.85022	0.71247
0.71279	0.25179	0.49759
0.91222	0.20705	0.71601
0.30365	0.69086	0.45774
0.097774	0.54419	0.89721
0.45489	0.60791	0.28977
0.069316	0.4442	0.66919
0.32817	0.20964	0.4736
0.86575	0.079875	0.12058
0.32511	0.91512	0.59488
0.53555	0.39923	0.89429
0.72132	0.69918	0.080697
0.3956	0.095459	0.30405
0.50266	0.77387	0.49184
0	0	0
1	1	1
